id,cwe
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,CWE-22
19,0
20,0
21,0
22,0
23,0
25,CWE-200
26,CWE-78
27,CWE-78
28,CWE-200
30,CWE-200
31,CWE-200
32,CWE-200
33,CWE-200
34,CWE-200
35,CWE-200
36,CWE-200
38,CWE-200
39,CWE-200
40,CWE-200
41,CWE-200
42,CWE-200
43,CWE-200
44,CWE-200
45,CWE-200
46,CWE-200
47,CWE-200
48,CWE-200
49,CWE-200
50,CWE-200
51,CWE-200
52,CWE-200
53,CWE-22
54,CWE-200
55,CWE-200
56,CWE-200
57,CWE-94
58,CWE-94
59,CWE-94
61,CWE-22
62,CWE-22
63,CWE-22
64,CWE-78
65,CWE-78
66,CWE-78
67,CWE-78
68,CWE-78
69,CWE-78
70,CWE-78
71,CWE-78
72,CWE-78
73,CWE-89
80,CWE-200
81,CWE-94
82,CWE-284
83,CWE-200
84,CWE-200
85,CWE-200
86,CWE-200
87,CWE-200
88,CWE-200
89,CWE-209
90,CWE-200
91,CWE-200
92,CWE-200
93,CWE-200
94,CWE-200
95,CWE-200
96,CWE-200
97,CWE-200
98,CWE-200
99,CWE-22
100,CWE-22
101,CWE-22
102,CWE-22
103,CWE-78
104,CWE-78
107,CWE-200
108,CWE-94
109,CWE-284
110,CWE-284
111,CWE-284
112,CWE-284
113,CWE-284
114,CWE-284
115,CWE-284
116,CWE-284
117,CWE-284
118,CWE-284
119,CWE-284
120,CWE-284
121,CWE-200
122,CWE-287
123,CWE-287
124,CWE-200
125,CWE-200
126,CWE-200
127,CWE-200
128,CWE-200
129,CWE-200
130,CWE-200
131,CWE-200
132,CWE-200
133,CWE-200
134,CWE-200
135,CWE-79
136,CWE-79
138,CWE-79
139,CWE-79
140,CWE-79
141,CWE-79
142,CWE-78
143,CWE-78
144,CWE-78
155,CWE-200
156,CWE-16
157,CWE-16
158,CWE-16
159,CWE-16
160,CWE-16
161,CWE-200
162,CWE-284
163,CWE-200
164,CWE-200
165,CWE-200
166,CWE-200
167,CWE-200
168,CWE-200
169,CWE-200
170,CWE-200
171,CWE-200
172,CWE-200
173,CWE-200
174,CWE-200
175,CWE-200
176,CWE-200
177,CWE-200
178,CWE-200
179,CWE-200
180,CWE-552
181,CWE-552
182,CWE-22
183,CWE-78
189,CWE-284
190,CWE-284
191,CWE-284
200,CWE-434
201,CWE-434
202,CWE-434
203,CWE-434
204,CWE-434
205,CWE-434
206,CWE-434
207,CWE-434
208,CWE-434
209,CWE-434
210,CWE-434
211,CWE-200
212,CWE-200
213,CWE-200
214,CWE-284
215,CWE-200
216,CWE-200
217,CWE-200
218,CWE-200
219,CWE-200
220,CWE-200
221,CWE-200
222,CWE-200
223,CWE-200
224,CWE-200
225,CWE-200
226,CWE-200
227,CWE-200
228,CWE-200
229,CWE-200
230,CWE-200
231,CWE-200
232,CWE-200
233,CWE-200
234,CWE-200
235,CWE-200
236,CWE-16
237,CWE-16
238,CWE-16
239,CWE-200
240,CWE-200
241,CWE-200
242,CWE-200
243,CWE-200
244,CWE-200
245,CWE-200
246,CWE-200
247,CWE-200
248,CWE-200
249,CWE-200
250,CWE-200
251,CWE-200
252,CWE-200
253,CWE-78
254,CWE-200
255,CWE-200
256,CWE-200
257,CWE-200
258,CWE-200
259,CWE-200
260,CWE-200
261,CWE-200
262,CWE-200
263,CWE-200
264,CWE-200
265,CWE-200
266,CWE-200
267,CWE-200
268,CWE-200
269,CWE-200
270,CWE-552
272,CWE-200
273,CWE-200
274,CWE-200
275,CWE-200
276,CWE-284
277,CWE-284
278,CWE-200
279,CWE-200
280,CWE-200
281,CWE-200
282,CWE-200
283,CWE-200
284,CWE-200
285,CWE-200
286,CWE-200
288,CWE-200
289,CWE-200
290,CWE-200
291,CWE-200
292,CWE-200
293,CWE-200
294,CWE-200
295,CWE-16
296,CWE-200
297,CWE-200
298,CWE-200
299,CWE-200
300,CWE-200
301,CWE-200
302,CWE-200
303,CWE-200
304,CWE-200
305,CWE-200
306,CWE-200
307,CWE-200
308,CWE-200
309,CWE-200
310,CWE-200
311,CWE-200
312,CWE-200
313,CWE-200
314,CWE-200
315,CWE-200
316,CWE-200
317,CWE-200
318,CWE-200
319,CWE-200
320,CWE-200
321,CWE-200
322,CWE-200
323,CWE-200
324,CWE-200
325,CWE-200
327,CWE-200
328,CWE-200
329,CWE-200
330,CWE-200
331,CWE-79
332,CWE-79
333,CWE-552
335,CWE-22
336,CWE-22
337,CWE-22
338,CWE-22
339,CWE-22
340,CWE-78
341,CWE-78
342,CWE-78
343,CWE-78
344,CWE-78
345,CWE-78
346,CWE-78
347,CWE-78
348,CWE-78
349,CWE-78
350,CWE-78
351,CWE-78
352,CWE-78
353,CWE-287
354,CWE-287
366,CWE-200
367,CWE-200
368,CWE-200
369,CWE-200
370,CWE-200
371,CWE-200
372,CWE-200
373,CWE-200
374,CWE-200
375,CWE-200
376,CWE-200
377,CWE-200
378,CWE-200
379,CWE-200
380,CWE-200
381,CWE-200
382,CWE-200
383,CWE-200
384,CWE-200
385,CWE-200
386,CWE-200
387,CWE-94
388,CWE-200
389,CWE-200
390,CWE-200
391,CWE-200
392,CWE-200
393,CWE-200
394,CWE-200
395,CWE-200
396,CWE-16
397,CWE-16
398,CWE-16
399,CWE-284
400,CWE-16
401,CWE-200
