scan_type,rule_name,description,alert_id,alert_url,risk,cwe
passive,Missing Anti-clickjacking Header,"This scan rule checks for the existence and validity of the X-Frame-Options header, or Content-Security-Policy ‘frame-ancestors’ directive. At MEDIUM and HIGH thresholds this only looks at non-error or non-redirect HTML responses. At LOW threshold it looks at all text responses including errors and redirects. The following conditions may result in an alert: Missing Anti-clickjacking Header: If the X-Frame-Options header is missing from the response completely. Multiple X-Frame-Options Header Entries: When more than one X-Frame-Options header is detected on the response. X-Frame-Options Defined via META (Non-compliant with Spec): A “http-equiv” entry was found in the response that attempts to define X-Frame-Options, which is not supported by the specification. X-Frame-Options Setting Malformed: The header is present with no value, or the value is not as expected (i.e.: other than “DENY”, or “SAMEORIGIN”). By default no alerts will be raised in the response includes a Content-Security-Policy ‘frame-ancestors’ element as this take precedence over the X-Frame-Options header. However at LOW threshold the above issues will still be reported but at a LOW risk.",10020-1,https://www.zaproxy.org/docs/alerts/10020-1/,2,1021
passive,Multiple X-Frame-Options Header Entries,"This scan rule checks for the existence and validity of the X-Frame-Options header, or Content-Security-Policy ‘frame-ancestors’ directive. At MEDIUM and HIGH thresholds this only looks at non-error or non-redirect HTML responses. At LOW threshold it looks at all text responses including errors and redirects. The following conditions may result in an alert: Missing Anti-clickjacking Header: If the X-Frame-Options header is missing from the response completely. Multiple X-Frame-Options Header Entries: When more than one X-Frame-Options header is detected on the response. X-Frame-Options Defined via META (Non-compliant with Spec): A “http-equiv” entry was found in the response that attempts to define X-Frame-Options, which is not supported by the specification. X-Frame-Options Setting Malformed: The header is present with no value, or the value is not as expected (i.e.: other than “DENY”, or “SAMEORIGIN”). By default no alerts will be raised in the response includes a Content-Security-Policy ‘frame-ancestors’ element as this take precedence over the X-Frame-Options header. However at LOW threshold the above issues will still be reported but at a LOW risk.",10020-2,https://www.zaproxy.org/docs/alerts/10020-2/,2,1021
passive,X-Frame-Options Defined via META (Non-compliant with Spec),"This scan rule checks for the existence and validity of the X-Frame-Options header, or Content-Security-Policy ‘frame-ancestors’ directive. At MEDIUM and HIGH thresholds this only looks at non-error or non-redirect HTML responses. At LOW threshold it looks at all text responses including errors and redirects. The following conditions may result in an alert: Missing Anti-clickjacking Header: If the X-Frame-Options header is missing from the response completely. Multiple X-Frame-Options Header Entries: When more than one X-Frame-Options header is detected on the response. X-Frame-Options Defined via META (Non-compliant with Spec): A “http-equiv” entry was found in the response that attempts to define X-Frame-Options, which is not supported by the specification. X-Frame-Options Setting Malformed: The header is present with no value, or the value is not as expected (i.e.: other than “DENY”, or “SAMEORIGIN”). By default no alerts will be raised in the response includes a Content-Security-Policy ‘frame-ancestors’ element as this take precedence over the X-Frame-Options header. However at LOW threshold the above issues will still be reported but at a LOW risk.",10020-3,https://www.zaproxy.org/docs/alerts/10020-3/,2,1021
passive,X-Frame-Options Setting Malformed,"This scan rule checks for the existence and validity of the X-Frame-Options header, or Content-Security-Policy ‘frame-ancestors’ directive. At MEDIUM and HIGH thresholds this only looks at non-error or non-redirect HTML responses. At LOW threshold it looks at all text responses including errors and redirects. The following conditions may result in an alert: Missing Anti-clickjacking Header: If the X-Frame-Options header is missing from the response completely. Multiple X-Frame-Options Header Entries: When more than one X-Frame-Options header is detected on the response. X-Frame-Options Defined via META (Non-compliant with Spec): A “http-equiv” entry was found in the response that attempts to define X-Frame-Options, which is not supported by the specification. X-Frame-Options Setting Malformed: The header is present with no value, or the value is not as expected (i.e.: other than “DENY”, or “SAMEORIGIN”). By default no alerts will be raised in the response includes a Content-Security-Policy ‘frame-ancestors’ element as this take precedence over the X-Frame-Options header. However at LOW threshold the above issues will still be reported but at a LOW risk.",10020-4,https://www.zaproxy.org/docs/alerts/10020-4/,2,1021
passive,Application Errors,"Check server responses for HTTP 500 - Internal Server Error type responses or those that contain a known error string. Note: Matches made within script blocks or files are against the entire content not only comments. Skips responses that contain ISO control characters (those which are likely binary files). At HIGH Threshold don’t alert on HTTP 500 (but do for other error patterns). Also, such known error strings are much less likely to be relevant in static pages like JS / CSS so these files are only scanned at LOW threshold. For Internal Server Error (HTTP 500) the Alert is set to Low risk and in other case it is set to Medium risk. Note: If the Custom Payloads add-on is installed you can add your own Application Error strings (payloads) in the Custom Payloads options panel.
They will also be searched for in responses as they’re passively scanned. Keep in mind that the greater the number of payloads the greater the
amount of time needed to passively scan. The Custom Payloads category for this rule is: Application-Errors . It is also possible to add patterns to the xml/application_errors.xml file in ZAP’s user directory.",90022,https://www.zaproxy.org/docs/alerts/90022/,2,550
passive,Big Redirect Detected (Potential Sensitive Information Leak),"This check predicts the size of various redirect type responses and generates an alert if the response is greater than the predicted size. A large redirect response may indicate that although a redirect has taken place the page actually contained content (which may reveal sensitive information, PII, etc.). It will also raise an alert if the body of the redirect response contains multiple HREFs.",10044-1,https://www.zaproxy.org/docs/alerts/10044-1/,1,201
passive,Multiple HREFs Redirect Detected (Potential Sensitive Information Leak),"This check predicts the size of various redirect type responses and generates an alert if the response is greater than the predicted size. A large redirect response may indicate that although a redirect has taken place the page actually contained content (which may reveal sensitive information, PII, etc.). It will also raise an alert if the body of the redirect response contains multiple HREFs.",10044-2,https://www.zaproxy.org/docs/alerts/10044-2/,1,201
passive,Cache Control,Checks “Cache-Control” response headers against general industry best practice settings for protection of sensitive content. At MEDIUM and HIGH thresholds only non-error or non-redirect text responses (excluding JavaScript and CSS) are considered. At LOW threshold all responses are considered including errors and redirects.,10015,https://www.zaproxy.org/docs/alerts/10015/,0,525
passive,Charset Mismatch (Header Versus Meta Content-Type Charset),"This check identifies responses where the HTTP Content-Type header declares a charset different from the charset defined by the body of the HTML or XML. When there’s a charset mismatch between the HTTP header and content body Web browsers can be forced into an undesirable content-sniffing mode to determine the content’s correct character set. The scan rule handles various conditions depending on the Threshold set for the rule, as follows: All Thresholds: Header Versus Meta Content-Type Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Content-Type tag. Header Versus Meta Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Charset tag. Low Threshold: Meta Charset Versus Meta Content-Type Charset - The response contains both a META Content-Type declaration and a META Charset declaration, and they don’t match. Further reference: http://www.w3.org/TR/html401/charset.html#h-5.2.2 http://www.w3.org/TR/html5/document-metadata.html#charset",90011-1,https://www.zaproxy.org/docs/alerts/90011-1/,0,436
passive,Charset Mismatch (Header Versus Meta Charset),"This check identifies responses where the HTTP Content-Type header declares a charset different from the charset defined by the body of the HTML or XML. When there’s a charset mismatch between the HTTP header and content body Web browsers can be forced into an undesirable content-sniffing mode to determine the content’s correct character set. The scan rule handles various conditions depending on the Threshold set for the rule, as follows: All Thresholds: Header Versus Meta Content-Type Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Content-Type tag. Header Versus Meta Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Charset tag. Low Threshold: Meta Charset Versus Meta Content-Type Charset - The response contains both a META Content-Type declaration and a META Charset declaration, and they don’t match. Further reference: http://www.w3.org/TR/html401/charset.html#h-5.2.2 http://www.w3.org/TR/html5/document-metadata.html#charset",90011-2,https://www.zaproxy.org/docs/alerts/90011-2/,0,436
